date,S&P500,FTSE100,DAX40
35240.00,670.63,3711.00,2561.39
35247.00,657.44,3743.20,2583.49
35254.00,646.19,3728.30,2544.26
35261.00,638.73,3710.50,2520.19
35268.00,635.90,3673.30,2470.34
35275.00,662.49,3770.60,2508.65
35282.00,662.10,3810.70,2525.64
35289.00,665.21,3872.90,2548.36
35296.00,667.03,3907.50,2562.12
35303.00,651.99,3867.60,2534.49
35310.00,655.68,3893.00,2542.74
35317.00,680.54,3967.90,2614.50
35324.00,687.02,3964.10,2641.50
35331.00,686.19,3946.40,2659.86
35338.00,701.46,4024.80,2704.25
35345.00,700.66,4028.10,2692.69
35352.00,710.82,4053.10,2727.56
35359.00,700.92,4022.40,2690.79
35366.00,703.77,3948.50,2670.19
35373.00,730.82,3910.80,2732.29
35380.00,737.62,3958.20,2800.60
35387.00,748.73,4018.70,2769.47
35394.00,757.02,4058.00,2848.84
35401.00,739.60,3962.90,2832.53
35408.00,728.64,3972.20,2815.77
35415.00,748.87,4077.50,2835.54
35422.00,756.79,4091.00,2859.22
35429.00,748.03,4089.40,2863.26
35436.00,759.50,4056.60,2915.81
35443.00,776.17,4207.50,3006.87
35450.00,770.52,4218.70,2982.63
35457.00,786.16,4275.00,3037.70
35464.00,789.56,4307.70,3161.36
35471.00,808.48,4341.00,3249.17
35478.00,801.77,4336.40,3203.79
35485.00,790.82,4307.70,3261.04
35492.00,804.97,4420.20,3419.51
35499.00,793.17,4424.30,3404.29
35506.00,784.10,4254.80,3288.52
35513.00,773.88,4312.90,3407.83
35520.00,757.90,4236.60,3235.35
35527.00,737.65,4270.60,3319.24
35534.00,766.34,4310.50,3361.20
35541.00,765.37,4369.70,3357.57
35548.00,812.97,4455.60,3491.08
35555.00,824.78,4630.90,3533.21
35562.00,829.75,4693.90,3569.26
35569.00,847.03,4661.80,3621.72
35576.00,848.28,4621.30,3562.73
35583.00,858.01,4645.00,3700.53
35590.00,893.27,4783.10,3752.37
35597.00,898.70,4593.90,3788.54
35604.00,887.30,4640.30,3809.92
35611.00,916.92,4812.80,3946.73
35618.00,916.68,4799.50,4074.30
35625.00,915.30,4877.20,4131.94
35632.00,938.79,4851.50,4368.54
35639.00,947.14,4899.30,4336.98
35646.00,933.54,5031.30,4342.31
35653.00,900.81,4865.80,4077.34
35660.00,923.54,4901.10,4090.14
35667.00,899.47,4817.50,3919.79
35674.00,929.05,4994.20,4073.71
35681.00,923.91,4848.20,3796.61
35688.00,950.51,5023.80,3983.06
35695.00,945.22,5226.30,4135.09
35702.00,965.03,5330.80,4266.17
35709.00,966.98,5227.30,4164.62
35716.00,944.16,5271.10,4049.16
35723.00,941.64,4970.20,3981.44
35730.00,914.62,4842.30,3753.66
35737.00,927.51,4764.30,3715.38
35744.00,928.35,4741.80,3676.65
35751.00,963.09,4985.80,3941.91
35758.00,955.40,4831.80,3972.08
35765.00,983.79,5142.90,4191.81
35772.00,953.39,5045.20,4061.91
35779.00,946.78,5020.20,4055.35
35786.00,936.46,5013.90,4132.79
35793.00,975.00,5193.50,4364.32
35800.00,927.69,5138.30,4237.75
35807.00,961.51,5263.10,4216.24
35814.00,957.58,5181.40,4222.16
35821.00,980.28,5458.50,4442.53
35828.00,1012.45,5629.70,4536.91
35835.00,1020.09,5582.30,4522.42
35842.00,1034.21,5751.60,4583.03
35849.00,1049.34,5767.30,4693.86
35856.00,1055.69,5782.90,4762.71
35863.00,1068.59,5782.30,4872.24
35870.00,1099.16,5956.30,5045.16
35877.00,1095.44,5939.30,5066.90
35884.00,1122.70,6064.20,5254.32
35891.00,1110.67,6105.50,5312.25
35898.00,1122.72,5922.20,5326.63
35905.00,1107.90,5863.90,5144.42
35912.00,1121.00,6010.30,5241.23
35919.00,1108.14,5969.80,5270.61
35926.00,1108.73,5917.80,5414.31
35933.00,1110.47,5955.60,5530.19
35940.00,1090.82,5870.70,5556.99
35947.00,1113.86,5947.30,5724.75
35954.00,1098.84,5769.80,5631.34
35961.00,1100.65,5748.10,5644.22
35968.00,1133.20,5877.40,5870.49
35975.00,1146.42,5988.40,5961.45
35982.00,1164.33,5929.70,6001.24
35989.00,1186.75,6174.00,6162.86
35996.00,1140.80,5892.30,6040.58
36003.00,1120.67,5837.00,5861.19
36010.00,1089.45,5680.40,5598.32
36017.00,1062.75,5455.00,5473.72
36024.00,1081.18,5477.00,5190.60
36031.00,1027.25,5249.40,4925.80
36038.00,973.89,5167.00,4864.97
36045.00,1009.06,5118.60,4754.64
36052.00,1020.09,5055.60,4623.37
36059.00,1044.75,5061.00,4584.41
36066.00,1002.60,4750.40,4019.31
36073.00,984.32,4823.40,3973.44
36080.00,1056.42,5133.10,4469.12
36087.00,1070.67,5217.10,4480.43
36094.00,1098.67,5438.40,4690.99
36101.00,1141.01,5491.00,4811.37
36108.00,1125.72,5463.20,4649.75
36115.00,1163.55,5717.50,4916.25
36122.00,1192.29,5844.20,5159.00
36129.00,1176.74,5581.90,4809.95
36136.00,1166.46,5541.70,4541.49
36143.00,1188.03,5741.90,4655.72
36150.00,1226.27,5867.20,4978.87
36157.00,1229.23,5882.60,5006.56
36164.00,1275.09,6147.20,5370.50
36171.00,1243.26,5941.00,4973.77
36178.00,1225.19,5861.20,5008.20
36185.00,1279.64,5896.00,5180.29
36192.00,1239.40,5855.30,5097.47
36199.00,1230.13,5950.70,4896.74
36206.00,1239.19,6031.20,4823.25
36213.00,1238.33,6175.80,4903.95
36220.00,1275.47,6205.50,4840.81
36227.00,1294.59,6282.20,5031.06
36234.00,1299.29,6163.20,5108.75
36241.00,1282.80,6139.20,4799.58
36248.00,1293.72,6330.00,4901.81
36255.00,1348.35,6472.70,5133.91
36262.00,1319.00,6420.60,5143.02
36269.00,1356.85,6428.00,5187.89
36276.00,1335.18,6552.20,5360.43
36283.00,1345.00,6356.00,5276.50
36290.00,1337.80,6300.30,5183.49
36297.00,1330.29,6353.10,5253.77
36304.00,1301.84,6226.00,5070.98
36311.00,1327.75,6362.00,5124.12
36318.00,1293.64,6485.00,5296.01
36325.00,1342.84,6528.00,5337.19
36332.00,1315.31,6435.00,5301.21
36339.00,1391.22,6491.80,5519.04
36346.00,1403.28,6562.60,5638.95
36353.00,1418.78,6563.20,5619.93
36360.00,1356.94,6207.30,5310.62
36367.00,1328.72,6231.80,5101.87
36374.00,1300.29,6121.00,5010.47
36381.00,1327.68,6245.10,5219.43
36388.00,1336.61,6180.70,5254.14
36395.00,1348.27,6375.20,5420.35
36402.00,1357.24,6332.10,5336.22
36409.00,1351.66,6191.00,5483.95
36416.00,1335.42,6039.70,5303.93
36423.00,1277.36,5937.60,5186.52
36430.00,1282.81,5970.70,5124.54
36437.00,1336.02,6199.30,5419.25
36444.00,1247.41,5907.20,5184.22
36451.00,1301.65,6058.80,5357.75
36458.00,1362.93,6255.70,5525.39
36465.00,1370.23,6356.60,5658.10
36472.00,1396.04,6511.60,5791.04
36479.00,1422.00,6482.20,5955.97
36486.00,1416.62,6684.70,5958.06
36493.00,1433.30,6742.20,6119.16
36500.00,1417.04,6739.50,6097.89
36507.00,1421.05,6724.60,6353.89
36514.00,1458.34,6806.50,6782.39
36521.00,1469.25,6930.20,6958.14
36528.00,1441.47,6504.70,6780.95
36535.00,1465.15,6658.20,7173.22
36542.00,1441.36,6346.20,6992.75
36549.00,1360.15,6375.60,7066.60
36556.00,1424.37,6188.50,7444.60
36563.00,1387.12,6185.90,7611.54
36570.00,1346.09,6165.10,7573.77
36577.00,1333.36,6194.90,7738.68
36584.00,1409.17,6491.30,7960.02
36591.00,1395.07,6571.80,7975.95
36598.00,1464.47,6563.80,7710.91
36605.00,1527.46,6738.50,7932.41
36612.00,1498.58,6540.20,7599.39
36619.00,1516.35,6568.20,7522.20
36626.00,1346.22,6175.20,7214.83
36633.00,1434.54,6240.70,7157.95
36640.00,1456.04,6341.90,7414.68
36647.00,1426.70,6245.10,7530.81
36654.00,1420.96,6284.90,7269.27
36661.00,1406.95,6050.90,6989.02
36668.00,1378.02,6206.00,6938.33
36675.00,1477.26,6633.10,7431.47
36682.00,1456.95,6443.80,7254.52
36689.00,1464.48,6526.00,7131.39
36696.00,1441.54,6391.50,6980.41
36703.00,1454.60,6312.70,6898.20
36710.00,1478.90,6497.50,7052.22
36717.00,1509.51,6475.40,7317.87
36724.00,1480.11,6378.40,7373.25
36731.00,1419.89,6335.70,7128.29
36738.00,1462.93,6363.50,7016.58
36745.00,1471.84,6384.50,7322.97
36752.00,1491.80,6543.70,7232.41
36759.00,1506.46,6563.70,7307.16
36766.00,1520.77,6795.00,7344.66
36773.00,1494.64,6600.70,7267.77
36780.00,1465.78,6417.30,6999.54
36787.00,1448.71,6205.90,6740.25
36794.00,1436.48,6294.20,6786.27
36801.00,1408.99,6391.20,6776.39
36808.00,1374.10,6209.60,6661.29
36815.00,1396.86,6276.30,6618.43
36822.00,1379.56,6382.30,6924.68
36829.00,1426.69,6385.30,7128.27
36836.00,1365.98,6400.20,6851.68
36843.00,1367.72,6434.00,6752.29
36850.00,1341.77,6321.10,6664.18
36857.00,1315.18,6142.20,6512.91
36864.00,1369.54,6289.70,6691.25
36871.00,1312.33,6181.90,6331.29
36878.00,1305.97,6097.50,6251.39
36885.00,1320.50,6222.50,6433.60
36892.00,1298.47,6198.10,6382.31
36899.00,1318.55,6165.50,6490.02
36906.00,1342.56,6209.30,6651.52
36913.00,1354.94,6294.30,6695.77
36920.00,1349.47,6256.40,6638.20
36927.00,1314.76,6164.30,6497.07
36934.00,1301.47,6088.30,6439.26
36941.00,1245.47,5943.70,6075.34
36948.00,1234.20,5852.50,6159.02
36955.00,1233.42,5917.30,6204.41
36962.00,1150.56,5562.80,5734.49
36969.00,1139.90,5402.30,5544.66
36976.00,1160.34,5633.70,5829.95
36983.00,1128.42,5601.50,5698.87
36990.00,1183.51,5766.60,6002.29
36997.00,1242.93,5879.80,6127.97
37004.00,1253.07,5951.40,6175.24
37011.00,1266.60,5870.30,6138.27
37018.00,1245.65,5901.60,6141.02
37025.00,1291.95,5915.00,6186.87
37032.00,1277.90,5889.80,6223.56
37039.00,1260.67,5809.60,6133.52
37046.00,1264.97,5941.70,6187.20
37053.00,1214.36,5723.00,5915.18
37060.00,1225.42,5665.70,5941.77
37067.00,1226.99,5642.50,6058.37
37074.00,1190.59,5479.20,5862.10
37081.00,1215.68,5537.00,5911.37
